City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
287,Amapa,BR,2020-09-02 08:24:39,1.0,-52.0,69.24,98,15,1.88
288,Acapulco,MX,2020-09-02 08:24:39,16.86,-99.89,77.2,81,0,4.16
289,Belaya Gora,RU,2020-09-02 08:24:40,68.53,146.42,43.11,72,79,10.45
290,Porto Murtinho,BR,2020-09-02 08:24:40,-21.7,-57.88,61.47,58,0,6.87
291,Padang,ID,2020-09-02 08:21:03,-0.95,100.35,83.8,71,100,3.53
292,Nishihara,JP,2020-09-02 08:24:40,26.18,127.76,86.0,94,75,13.87
293,San Policarpo,PH,2020-09-02 08:24:40,12.18,125.51,86.05,68,65,7.94
294,Wanning,CN,2020-09-02 08:24:41,18.8,110.4,86.74,72,98,5.37
295,Husavik,IS,2020-09-02 08:24:41,66.04,-17.34,46.4,87,90,9.17
296,Tataranu,RO,2020-09-02 08:24:41,45.52,27.32,80.6,51,75,13.87
297,Gold Coast,AU,2020-09-02 08:20:49,-28.0,153.43,68.0,68,40,11.41
298,Cap Malheureux,MU,2020-09-02 08:24:42,-19.98,57.61,78.01,67,9,5.99
299,Camana,PE,2020-09-02 08:24:42,-16.62,-72.71,58.66,80,86,12.57
300,Vysokogornyy,RU,2020-09-02 08:24:42,50.12,139.15,64.72,87,83,3.51
301,Gizo,SB,2020-09-02 08:24:42,-8.1,156.84,83.1,79,68,11.27
302,Sagua La Grande,CU,2020-09-02 08:24:42,22.81,-80.08,75.2,94,20,3.36
303,Lavumisa,SZ,2020-09-02 08:24:43,-27.31,31.89,67.1,55,66,4.65
